"Dynamic Send: Asset Title","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry","Dynamic Send: Created Date","Start Date","Expiration Date","Sub-Region","Product","Dynamic Send: Record Type","Asset Type"
"Agentforce Demo Video Playlist","","Agentforce","Sian Desmond","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","2/4/2025","2/6/2025","7/10/2026","United States","Agentforce","Generic","Demo"
"FY27_Q1_US_GFM_Portfolio-guided-tour-DSE","","Agentforce; Data 360; Einstein AI; Multi-Product","Raluca Oltean-Revel","AMER","United States","English","Customer; Prospect","GRB; MM; GB; EBU","","4/30/2026","5/6/2026","","United States","Agentforce","Generic","Demo"
"FY27_Q2_CA_Agentforce_Demo-Playlist_DSE","","Agentforce","Raluca Oltean-Revel","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","4/2/2026","4/2/2026","7/10/2026","Canada","Agentforce","Generic","Demo"
"[US M-PR] Portfolio_Agentic AI Playbook_MultiProduct","","Multi-Product","Ray Liang","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","3/12/2026","3/13/2026","1/16/2027","United States","Agentforce","Generic","Digital Guide"
"Portfolio_Agentic AI Playbook Primary Gated","","Salesforce Customer 360","Ray Liang","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","10/30/2025","1/16/2026","1/16/2027","United States","Agentforce","Generic","Digital Guide"
"The Telecommunications Industry Playbook to Achieve Effective Data Maturity","","Agentforce Communications","Ray Liang","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","1/15/2025","1/16/2025","7/10/2026","United States","Agentforce","Generic","Digital Guide"
"ConsensusQ | Agentforce Overview | Iman - CAN","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Sian Desmond","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","3/26/2025","3/31/2025","7/10/2026","Canada","Agentforce","Generic","Dynamic Demo"
"[US M-Pr] ConsensusQ | Agentforce Overview | Iman","","Multi-Product","Sian Desmond","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","3/20/2025","3/20/2025","7/10/2026","United States","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Sian Desmond","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","12/17/2024","3/13/2025","7/10/2026","United States","Agentforce","Generic","Dynamic Demo"
"[US M-Pr] Portfolio Tour_FY26Q3","","Multi-Product","Ray Liang","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","8/27/2025","8/27/2025","8/27/2026","United States","Agentforce","Generic","Dynamic Demo"
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_customer-voice_DSE","","Einstein Voice","Sian Desmond","AMER","United States","English","Customer","GRB; MM; GB; EBU","","5/8/2026","5/11/2026","5/28/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_prospect-einstein_DSE","","Einstein AI","Sian Desmond","AMER","United States","English","Customer","GRB; MM; GB; EBU","","5/7/2026","5/11/2026","","United States","Agentforce","Generic","Guide"
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_customer-einstein_DSE","","Einstein AI","Sian Desmond","AMER","United States","English","Prospect","GRB; MM; GB; EBU","","5/7/2026","5/11/2026","5/28/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_prospect-af_DSE","","Agentforce","Sian Desmond","AMER","United States","English","Prospect","GRB; MM; GB; EBU","","5/7/2026","5/11/2026","5/28/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_customer-af_DSE","","Agentforce","Sian Desmond","AMER","United States","English","Customer","GRB; MM; GB; EBU","","5/7/2026","5/11/2026","","United States","Agentforce","Generic","Guide"
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_prospect-voice_DSE","","Einstein Voice","Sian Desmond","AMER","United States","English","Prospect","GRB; MM; GB; EBU","","5/7/2026","5/11/2026","5/28/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_AMER_CA_GFM_effective-ai-agent-checklist-DSE","","Agentforce; Einstein AI; Einstein Voice","Sian Desmond","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","","4/15/2026","4/23/2026","4/23/2027","Canada","Agentforce","Generic","Guide"
"FY27_Q2_AMER_US_GFM_effective-ai-agent-checklist_Einsteinvoice_prospect-DSE","","Einstein Voice","Sian Desmond","AMER","United States","English","Prospect","SBE; SB; GRB; MM; GB; EBU","","4/15/2026","4/23/2026","4/23/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_AMER_US_GFM_effective-ai-agent-checklist_Einsteinvoice_customer-DSE","","Einstein Voice","Sian Desmond","AMER","United States","English","Customer","SBE; SB; GRB; MM; GB; EBU","","4/15/2026","4/23/2026","4/23/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_AMER_US_GFM_effective-ai-agent-checklist_EinsteinAI_prospect-DSE","","Einstein AI","Sian Desmond","AMER","United States","English","Prospect","SBE; SB; GRB; MM; GB; EBU","","4/15/2026","4/23/2026","4/23/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_AMER_US_GFM_effective-ai-agent-checklist_AF_prospect-DSE","","Agentforce","Sian Desmond","AMER","United States","English","Prospect","SBE; SB; GRB; MM; GB; EBU","","4/15/2026","4/23/2026","4/23/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_AMER_US_GFM_effective-ai-agent-checklist_EinsteinAI_customer-DSE","","Einstein AI","Sian Desmond","AMER","United States","English","Customer","SBE; SB; GRB; MM; GB; EBU","","4/15/2026","4/23/2026","4/23/2027","United States","Agentforce","Generic","Guide"
"FY27_Q2_AMER_US_GFM_effective-ai-agent-checklist_AF_Customer-DSE","","Agentforce","Sian Desmond","AMER","United States","English","Customer","SBE; SB; GRB; MM; GB; EBU","","4/15/2026","4/23/2026","4/23/2027","United States","Agentforce","Generic","Guide"
"FY27Q2_AMER_US_GFM_Agentforce_futurum-signal-AI-report-EinsteinVoic_customer_DSE","","Einstein Voice","Sian Desmond","AMER","United States","English","Customer","SBE; SB; GRB; MM; GB; EBU","","4/14/2026","5/1/2026","5/13/2027","United States","Agentforce","Generic","Guide"
"FY27Q2_AMER_US_GFM_Agentforce_futurum-signal-AI-report-EinsteinAI_prospect_DSE","","Einstein AI","Sian Desmond","AMER","United States","English","Prospect","SBE; SB; GRB; MM; GB; EBU","","4/14/2026","5/7/2026","5/13/2027","United States","Agentforce","Generic","Guide"
