"Dynamic Send: Asset Title","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry","Dynamic Send: Created Date","Start Date","Expiration Date","Sub-Region","Product","Dynamic Send: Record Type","Asset Type"
"GB_GFM_Agentforce_unlock-growth-digital-labour","","Agentforce","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","ESB; GB","","1/25/2026","1/26/2026","","UK","Agentforce","Generic","Blog"
"GB_GFM_Agentforce_grow-your-business","","Agentforce","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","ESB; GB","","1/25/2026","1/26/2026","","UK","Agentforce","Generic","Blog"
"GB_GFM_Agentforce_leadership-skills-roi-ai","","Agentforce","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","ESB; GB","","1/25/2026","1/26/2026","","UK","Agentforce","Generic","Blog"
"GB_GFM_Agentforce_strategic-growth-priorities-for-agentic-enterprise-2026","","Agentforce","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","GB","","1/20/2026","1/21/2026","","UK","Agentforce","Generic","Blog"
"IT-Accelerating Time to Agentic AI Value","","Agentforce","Alessia Zucco","EMEA","Holy See; Italy; San Marino","Italian","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","7/22/2025","8/8/2025","7/22/2026","Italy","Agentforce","Generic","Blog"
"CH_Freitag Agentforce Blog","","Agentforce; Agentforce Service","Moritz Kaiser","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","4/24/2026","4/27/2026","4/30/2027","Switzerland & Liechtenstein","Agentforce","Generic","Blog"
"CH_Fedex_Story","","Agentforce; Agentforce Commerce; Agentforce Consumer Goods; Agentforce Financial Services; Agentforce Sales; Agentforce Service; CRM Analytics; Data 360; Marketing Cloud; MuleSoft; Multi-Product; Platform; Salesforce Customer 360; Slack","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/18/2025","10/21/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Fujitsu_Story","","Agentforce; Agentforce Commerce; Agentforce Consumer Goods; Agentforce Financial Services; Agentforce Sales; Agentforce Service; CRM Analytics; Data 360; Marketing Cloud; MuleSoft; Multi-Product; Platform; Salesforce Customer 360; Slack","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/18/2025","10/21/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Siemens_Story","","Agentforce; Agentforce Commerce; Agentforce Consumer Goods; Agentforce Financial Services; Agentforce Sales; Agentforce Service; CRM Analytics; Data 360; Marketing Cloud; MuleSoft; Multi-Product; Platform; Salesforce Customer 360; Slack","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","11/4/2025","10/21/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Finnair_Story","","Agentforce; Agentforce Commerce; Agentforce Consumer Goods; Agentforce Financial Services; Agentforce Sales; Agentforce Service; CRM Analytics; Data 360; Marketing Cloud; MuleSoft; Multi-Product; Platform; Salesforce Customer 360; Slack","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","11/19/2025","10/21/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Formula1_Story","","Agentforce; Agentforce Commerce; Agentforce Consumer Goods; Agentforce Financial Services; Agentforce Sales; Agentforce Service; CRM Analytics; Data 360; Marketing Cloud; MuleSoft; Multi-Product; Platform; Salesforce Customer 360; Slack","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","11/19/2025","10/21/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Heathrow_Story","","Agentforce; Agentforce Commerce; Agentforce Consumer Goods; Agentforce Financial Services; Agentforce Sales; Agentforce Service; CRM Analytics; Data 360; Marketing Cloud; MuleSoft; Multi-Product; Platform; Salesforce Customer 360; Slack","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/18/2025","10/21/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_reMarkable_Story","","Agentforce; Agentforce Commerce; Agentforce Service; Data 360; Marketing Cloud; MuleSoft; Slack","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/14/2025","7/31/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_WEF_Story","","Agentforce; Data 360","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/14/2025","7/31/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_VWGroup_Story","","Agentforce; Agentforce Sales; Agentforce Service; Data 360; Marketing Cloud; MuleSoft; Multi-Product; Salesforce Customer 360; Tableau","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/18/2025","7/31/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Pandora_Story","","Agentforce; Agentforce Commerce; Agentforce Service; Data 360; MuleSoft; Multi-Product; Salesforce Customer 360","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/14/2025","7/31/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Indeed_Story","","Agentforce; Data 360; Marketing Cloud; MuleSoft; Tableau","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/14/2025","7/31/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Adecco_Story","","Agentforce; Agentforce Sales; Agentforce Service; Data 360; Einstein AI; Marketing Cloud; MuleSoft; Multi-Product","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","10/22/2025","12/14/2025","7/31/2026","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"ES_CaixaBank Customer Story","","Agentforce","Angie Isabela Cheung Chen","EMEA","Spain","Spanish","Customer; Prospect","GRB; MM; GB; EBU","","8/11/2025","2/13/2026","2/13/2027","Spain","Agentforce","Generic","Customer Story"
"CH_GE Appliances Story","","Agentforce; Agentforce Field Service; Agentforce Manufacturing; Agentforce Service; Marketing Cloud; MuleSoft","Moritz Kaiser","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","5/11/2026","5/11/2026","4/30/2027","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"CH_Good Year Story","","Agentforce; Agentforce Automotive; Agentforce Field Service; Data 360; Marketing Cloud","Moritz Kaiser","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","","5/11/2026","5/11/2026","4/30/2027","Switzerland & Liechtenstein","Agentforce","Generic","Customer Story"
"IT_Agentforce Campaigns Demo","","Agentforce; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Alessia Zucco","EMEA","Holy See; Italy; San Marino","Italian","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","7/25/2025","8/8/2025","7/25/2026","Italy","Agentforce","Generic","Demo"
