"Dynamic Send: Asset Title","Archived Date","Product","Sub-Region","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry"
"UK_Field Service Guide 2024","5/19/2026","Agentforce Field Service","UK","","Agentforce Field Service; Agentforce Service","Erika Torchia","EMEA","Gibraltar; Guernsey; Jersey; United Kingdom","English","Customer; Prospect","ESB; SMB; MM; GB",""
"CH_FY24 new Field Service overview demo","4/27/2026","Agentforce Field Service","Switzerland & Liechtenstein","","Agentforce Field Service","Erika Torchia","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM",""
"AE_FY25 new Field Service overview demo","4/27/2026","Agentforce Field Service","MDE","","Agentforce Field Service","Erika Torchia","EMEA","United Arab Emirates","English","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"AE_Field Service Guide 2024","5/19/2026","Agentforce Field Service","MDE","","Agentforce Field Service; Agentforce Service","Erika Torchia","EMEA","United Arab Emirates","English","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"CH_Field Service Guide 2024","5/19/2026","Agentforce Field Service","Switzerland & Liechtenstein","","Agentforce Field Service; Agentforce Service","Erika Torchia","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB",""
"Email 1: DE-Retail_DE_State of Sales, 6th Edition","5/19/2026","Agentforce Sales","Germany","","Agentforce Revenue Management; Agentforce Sales; Sales Cloud PRM; Salesforce Billing; Salesforce CPQ; Salesforce Maps","Erika Torchia","EMEA","Germany","German","Customer; Prospect","ESB; GB",""
"IE_Field Service Guide 2024","5/19/2026","Agentforce Field Service","Ireland","","Agentforce Field Service; Agentforce Service","Erika Torchia","EMEA","Ireland","English","Customer; Prospect","ESB; SMB; MM; GB",""
"IL_Field Service Guide 2024","5/19/2026","Agentforce Field Service","Israel","","Agentforce Field Service; Agentforce Service","Erika Torchia","EMEA","Israel","English","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"NO_Field Service Guide 2024","5/19/2026","Agentforce Field Service","Norway","","Agentforce Field Service; Agentforce Service","Erika Torchia","EMEA","Norway","English","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"SE_Field Service Guide 2024","5/19/2026","Agentforce Field Service","Sweden","","Agentforce Field Service; Agentforce Service","Erika Torchia","EMEA","Sweden","English","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"BE_Field Service Guide 2024","5/19/2026","Agentforce Field Service","Belgium","","Agentforce Field Service; Agentforce Service","Sharon Fels","EMEA","Belgium","English","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"FI_Field Service Guide 2024","5/19/2026","Agentforce Field Service","Finland","","Agentforce Field Service; Agentforce Service","Shane Hudson","EMEA","Finland","English","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"DK_Field Service Guide 2024","5/19/2026","Agentforce Field Service","Denmark","","Agentforce Field Service; Agentforce Service","Erika Torchia","EMEA","Denmark; Faroe Islands; Greenland","English","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"IL_Multi-Product_Demo","6/1/2026","Data 360","Israel","","Data 360; Einstein AI","Alessia Zucco","EMEA","Israel","English","Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"IL_Multi-Product_Demo","6/1/2026","Data 360","Israel","","Data 360; Einstein AI","Alessia Zucco","EMEA","Israel","English","Customer","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU",""
"Freitag Blog Story","5/1/2026","Agentforce Service","Switzerland & Liechtenstein","","Agentforce Commerce; Agentforce Service; Commerce B2B; Marketing Cloud; Service Cloud Essentials","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB",""
"FI_Account Based Marketing Demo","6/2/2026","Marketing Cloud","Finland","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Shane Hudson","EMEA","Finland","English","Customer; Prospect","MM; GB; EBU",""
"BE_Account Based Marketing Demo","6/2/2026","Marketing Cloud","Belgium","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Shane Hudson","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"DK_Account Based Marketing Demo","6/2/2026","Marketing Cloud","Denmark","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Shane Hudson","EMEA","Denmark; Faroe Islands; Greenland","English","Customer; Prospect","MM; GB; EBU",""
"NO_Account Based Marketing Demo","6/2/2026","Marketing Cloud","Norway","","Agentforce Manufacturing; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement","Shane Hudson","EMEA","Norway","English","Customer; Prospect","MM; GB; EBU",""
"NO_4 Steps to Connected Marketing and Service Experiences","6/2/2026","Marketing Cloud","Norway","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Shane Hudson","EMEA","Norway","English","Customer; Prospect","MM; GB; EBU",""
"SE_4 Steps to Connected Marketing and Service Experiences","6/2/2026","Marketing Cloud","Sweden","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Shane Hudson","EMEA","Sweden","English","Customer; Prospect","MM; GB; EBU",""
"BE_Marketing and Service Demo","6/2/2026","Marketing Cloud","Belgium","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Shane Hudson","EMEA","Belgium","English","Customer; Prospect","MM; GB; EBU",""
"CH_LoyaltyGuide","5/1/2026","Loyalty Management","Switzerland & Liechtenstein","","","Mamun Rahman","EMEA","Liechtenstein; Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM; GB","Retail & CG"
"FR - Baromètre IA","4/17/2026","Einstein AI","France","","Agentforce; Einstein AI; Multi-Product","Maxime Gilloteaux","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB",""
