APM L1,Measure Names,Opportunity Stage 2 Date - Fiscal Quarter,Measure Values
,Current FY MDP,Q1,"124,263.510568379"
,% YoY,Q1,-0.739534698
,CFY MDP Contribution,Q1,0.240457279
,Previous FY MDP Contribution,Q1,0.448068923
,MDP Contr. Diff vs FY-1 (ppts),Q1,-20.761164456
AI and Data,Current FY MDP,Q1,"655,830,380.242628"
AI and Data,% YoY,Q1,-0.229576016
AI and Data,CFY MDP Contribution,Q1,0.341504244
AI and Data,Previous FY MDP Contribution,Q1,0.360786185
AI and Data,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.928194123
Analytics,Current FY MDP,Q1,"330,787,354.361999"
Analytics,% YoY,Q1,-5.007775625e-05
Analytics,CFY MDP Contribution,Q1,0.343904632
Analytics,Previous FY MDP Contribution,Q1,0.367895651
Analytics,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.399101860
Commerce,Current FY MDP,Q1,"107,017,154.708657"
Commerce,% YoY,Q1,-0.128530610
Commerce,CFY MDP Contribution,Q1,0.332279930
Commerce,Previous FY MDP Contribution,Q1,0.343538249
Commerce,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.125831853
Core Success Plans,Current FY MDP,Q1,"95,424,698.7122288"
Core Success Plans,% YoY,Q1,-0.050427538
Core Success Plans,CFY MDP Contribution,Q1,0.335131852
Core Success Plans,Previous FY MDP Contribution,Q1,0.361180607
Core Success Plans,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.604875440
Informatica,Current FY MDP,Q1,"196,116,749.391758"
Informatica,% YoY,Q1,
Informatica,CFY MDP Contribution,Q1,0.287145264
Informatica,Previous FY MDP Contribution,Q1,
Informatica,MDP Contr. Diff vs FY-1 (ppts),Q1,
Integration,Current FY MDP,Q1,"374,086,392.688734"
Integration,% YoY,Q1,0.101390611
Integration,CFY MDP Contribution,Q1,0.322771277
Integration,Previous FY MDP Contribution,Q1,0.344913832
Integration,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.214255456
Marketing,Current FY MDP,Q1,"518,342,771.624608"
Marketing,% YoY,Q1,0.138491154
Marketing,CFY MDP Contribution,Q1,0.328427891
Marketing,Previous FY MDP Contribution,Q1,0.344314925
Marketing,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.588703440
Other,Current FY MDP,Q1,"236,491,759.172469"
Other,% YoY,Q1,-0.187039713
Other,CFY MDP Contribution,Q1,0.424583098
Other,Previous FY MDP Contribution,Q1,0.384036663
Other,MDP Contr. Diff vs FY-1 (ppts),Q1,4.054643528
Sales,Current FY MDP,Q1,"1,115,721,679.71523"
Sales,% YoY,Q1,0.183198308
Sales,CFY MDP Contribution,Q1,0.335754423
Sales,Previous FY MDP Contribution,Q1,0.358182601
Sales,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.242817794
Salesforce Platform,Current FY MDP,Q1,"262,401,191.862174"
Salesforce Platform,% YoY,Q1,0.008571371
Salesforce Platform,CFY MDP Contribution,Q1,0.309805324
Salesforce Platform,Previous FY MDP Contribution,Q1,0.324113919
Salesforce Platform,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.430859537
Service,Current FY MDP,Q1,"1,028,100,138.30517"
Service,% YoY,Q1,0.255281804
Service,CFY MDP Contribution,Q1,0.329177515
